Module,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_maxSpeed,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_minSpeed,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_startTime,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_stopTime,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalDistance,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalTime
RSUExampleScenario.node[437].veinsmobility,15.088,0,27116,27195.5,169.548,647.083,79
RSUExampleScenario.node[298].veinsmobility,15.8513,0,27080,27196,277.811,881.793,115.5
RSUExampleScenario.node[378].veinsmobility,15.5,0,27101,27196,191.295,495.787,94.5
RSUExampleScenario.node[551].veinsmobility,18.9382,6.9,27148.5,27196,173.409,764.219,47
RSUExampleScenario.node[103].veinsmobility,19.2991,0,27029,27197.5,408.339,1415.7,168
RSUExampleScenario.node[145].veinsmobility,19.25,0,27041,27198,393.221,1413.02,156.5
RSUExampleScenario.node[355].veinsmobility,16.25,0,27096,27199,266.47,745.365,102.5
RSUExampleScenario.node[468].veinsmobility,16,0,27122,27199,199.667,760.669,76.5
RSUExampleScenario.node[333].veinsmobility,16.9,0,27091,27199,294.487,876.748,107.5
RSUExampleScenario.node[451].veinsmobility,15.5,0,27120,27199,183.528,482.212,78.5
RSUExampleScenario.node[217].veinsmobility,18.5306,0,27058,27199.5,305.691,928.409,141
RSUExampleScenario.node[567].veinsmobility,19.2353,6.9,27152,27199.5,179.233,771.784,47
RSUExampleScenario.node[97].veinsmobility,21.25,-0.614828,27027,27201.5,408.513,1103.98,174
RSUExampleScenario.node[557].veinsmobility,15.4713,0.555212,27150,27201.5,140.059,486.313,51
