Module,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_maxSpeed,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_minSpeed,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_startTime,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_stopTime,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_totalDistance,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_totalTime
ProvidenciaExampleScenario.node[132].veinsmobility,16.25,0,27032,27148,245.881,876.687,115.5
ProvidenciaExampleScenario.node[30].veinsmobility,16,0,27008,27148.5,417.072,1737.74,140
ProvidenciaExampleScenario.node[144].veinsmobility,17.5,0,27035.5,27149.5,275.779,790.838,113.5
ProvidenciaExampleScenario.node[235].veinsmobility,16.1243,0,27055.5,27149.5,273.56,897.355,93.5
ProvidenciaExampleScenario.node[311].veinsmobility,16.5301,0,27074.5,27150,243.466,867.87,75
ProvidenciaExampleScenario.node[506].veinsmobility,15.4336,6.15,27120,27150.5,94.3338,332.592,30
ProvidenciaExampleScenario.node[345].veinsmobility,17.5,2.99342,27083.5,27150.5,254.025,860.564,66.5
ProvidenciaExampleScenario.node[77].veinsmobility,21,0,27019.5,27151,372.464,1453.14,131
ProvidenciaExampleScenario.node[436].veinsmobility,16.25,6.9,27104.5,27151.5,143.535,619.603,46.5
ProvidenciaExampleScenario.node[337].veinsmobility,16.25,3.5,27082.5,27152.5,230.082,865.223,69.5
ProvidenciaExampleScenario.node[157].veinsmobility,16.25,0,27037.5,27153,250.37,805.079,115
ProvidenciaExampleScenario.node[155].veinsmobility,19.25,-0.0497673,27037,27153.5,266.927,785.514,116
ProvidenciaExampleScenario.node[91].veinsmobility,15.8539,0,27022.5,27154,274.334,902.067,131
ProvidenciaExampleScenario.node[141].veinsmobility,19.25,0,27034.5,27154,269.229,784.331,119
ProvidenciaExampleScenario.node[150].veinsmobility,15.8111,0,27036,27154,254.648,860.098,117.5
ProvidenciaExampleScenario.node[427].veinsmobility,20.6255,2.85305,27103.5,27154.5,168.104,488.616,50.5
ProvidenciaExampleScenario.node[146].veinsmobility,18.5,0,27035.5,27154.5,261.985,767.632,118.5
ProvidenciaExampleScenario.node[278].veinsmobility,15.6232,0,27067.5,27155,210.025,789.415,87
ProvidenciaExampleScenario.node[160].veinsmobility,18.5,0,27037.5,27155,252.098,789.433,117
ProvidenciaExampleScenario.node[183].veinsmobility,19.8802,0,27043.5,27155,267.907,770.303,111
ProvidenciaExampleScenario.node[178].veinsmobility,18.9337,0,27043,27155.5,255.085,782.802,112
ProvidenciaExampleScenario.node[158].veinsmobility,15.5317,0,27037.5,27155.5,248.543,870.619,117.5
ProvidenciaExampleScenario.node[204].veinsmobility,16.25,0,27047.5,27156,233.759,904.549,108
ProvidenciaExampleScenario.node[162].veinsmobility,19.3769,0,27038,27156,268.131,766.005,117.5
ProvidenciaExampleScenario.node[16].veinsmobility,20.25,0,27004.5,27156,444.618,1409.73,151
ProvidenciaExampleScenario.node[371].veinsmobility,18.6304,0,27090,27157,208.443,779.909,66.5
ProvidenciaExampleScenario.node[372].veinsmobility,15.1412,2.75,27090,27157,206.39,862.034,66.5
ProvidenciaExampleScenario.node[282].veinsmobility,16.25,0,27068,27157,250.796,1041.35,88.5
ProvidenciaExampleScenario.node[177].veinsmobility,17.9578,0,27043,27157.5,227.755,670.56,114
ProvidenciaExampleScenario.node[283].veinsmobility,15.1412,0,27068.5,27157.5,208.291,801.128,88.5
ProvidenciaExampleScenario.node[229].veinsmobility,17.5,0,27054.5,27157.5,244.125,797.016,102.5
ProvidenciaExampleScenario.node[425].veinsmobility,15.5,0,27103,27158.5,129.706,290.004,55
ProvidenciaExampleScenario.node[64].veinsmobility,16.25,0,27017,27158.5,299.686,692.67,141
ProvidenciaExampleScenario.node[151].veinsmobility,18.217,0,27036,27158.5,264.061,786.824,122
ProvidenciaExampleScenario.node[231].veinsmobility,18,0,27054.5,27158.5,225.724,766.32,103.5
ProvidenciaExampleScenario.node[253].veinsmobility,19.3503,0,27060,27159.5,244.469,774.005,99
ProvidenciaExampleScenario.node[239].veinsmobility,18.7114,0,27057,27160,244.391,778.438,102.5
ProvidenciaExampleScenario.node[399].veinsmobility,15.8552,0,27096.5,27160,198.584,834.835,63
ProvidenciaExampleScenario.node[182].veinsmobility,16.25,0,27043.5,27160.5,243.321,688.576,116.5
ProvidenciaExampleScenario.node[294].veinsmobility,18,0,27070.5,27160.5,232.971,790.868,89.5
ProvidenciaExampleScenario.node[267].veinsmobility,19.1663,0,27063.5,27160.5,233.071,774.966,96.5
ProvidenciaExampleScenario.node[135].veinsmobility,15.65,0,27033,27161.5,270.553,698.665,128
ProvidenciaExampleScenario.node[279].veinsmobility,18.2297,0,27067.5,27161.5,233.926,776.388,93.5
ProvidenciaExampleScenario.node[390].veinsmobility,16.25,1.1557,27094.5,27161.5,212.852,888.365,66.5
ProvidenciaExampleScenario.node[341].veinsmobility,18.1598,0,27083,27162,210.221,769.991,78.5
ProvidenciaExampleScenario.node[310].veinsmobility,16.0033,0,27074.5,27162.5,204.048,688.399,87.5
ProvidenciaExampleScenario.node[291].veinsmobility,19.25,0,27069.5,27162.5,221.668,767.106,92.5
ProvidenciaExampleScenario.node[129].veinsmobility,16.25,0,27031.5,27163,295.703,698.936,131
ProvidenciaExampleScenario.node[288].veinsmobility,18.1952,0,27069,27163,233.973,779.132,93.5
ProvidenciaExampleScenario.node[290].veinsmobility,16.9,0,27069.5,27163.5,237.707,859.207,93.5
ProvidenciaExampleScenario.node[289].veinsmobility,17.5,0,27069.5,27164,203.796,672.127,94
ProvidenciaExampleScenario.node[301].veinsmobility,19.004,0,27072,27164,236.348,777.409,91.5
ProvidenciaExampleScenario.node[360].veinsmobility,18.0185,0,27088.5,27164.5,196.178,770.422,75.5
ProvidenciaExampleScenario.node[318].veinsmobility,18.1508,0,27077,27165,220.583,768.406,87.5
ProvidenciaExampleScenario.node[449].veinsmobility,16.4568,3.5,27107,27165,205.8,840.481,57.5
