Module,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_maxSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_minSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_startTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_stopTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalDistance,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalTime
ProvidenciaExampleScenario.node[164].veinsmobility,15.65,0,27025,27318.5,535.772,1329.8,293
ProvidenciaExampleScenario.node[165].veinsmobility,15.65,6.9,27025.5,27047,74.9921,277.447,21
ProvidenciaExampleScenario.node[166].veinsmobility,16.6774,0,27025.5,27165,306.31,939.777,139
ProvidenciaExampleScenario.node[167].veinsmobility,16.4584,0,27025.5,27205.5,442.629,1289.11,179.5
ProvidenciaExampleScenario.node[168].veinsmobility,19.25,7.1,27025.5,27073,181.254,778.258,47
ProvidenciaExampleScenario.node[169].veinsmobility,19.4,0,27025.5,27165.5,394.149,1296.93,139.5
ProvidenciaExampleScenario.node[170].veinsmobility,16.25,0,27025.5,27090.5,211.674,882.681,64.5
ProvidenciaExampleScenario.node[171].veinsmobility,21.9227,-0.054203,27025.5,27146,320.729,923.512,120
ProvidenciaExampleScenario.node[172].veinsmobility,15.6715,5.59778,27026,27108,209.668,1004.13,81.5
ProvidenciaExampleScenario.node[173].veinsmobility,15.3904,3.7,27026,27087.5,183.194,839.242,61
ProvidenciaExampleScenario.node[174].veinsmobility,18.5563,0,27026.5,27135,274.352,989.323,108
ProvidenciaExampleScenario.node[175].veinsmobility,15.8184,0,27026.5,27134,256.16,1061.88,107
ProvidenciaExampleScenario.node[176].veinsmobility,15.798,0,27026.5,27161,265.972,688.87,134
ProvidenciaExampleScenario.node[177].veinsmobility,18.45,3.5,27026.5,27090,209.742,901.118,63
ProvidenciaExampleScenario.node[178].veinsmobility,22.5,0,27026.5,27235.5,540.561,1251.46,208.5
ProvidenciaExampleScenario.node[179].veinsmobility,16.25,0,27027,27280.5,555.795,1847.59,253
ProvidenciaExampleScenario.node[180].veinsmobility,16.52,4.25274,27027,27098,234.996,951.091,70.5
ProvidenciaExampleScenario.node[181].veinsmobility,16.25,0,27027.5,27179.5,279.674,765.814,151.5
ProvidenciaExampleScenario.node[182].veinsmobility,18.8568,0,27028,27289.5,530.753,1689.41,261
ProvidenciaExampleScenario.node[183].veinsmobility,20.75,0,27028,27093.5,287.18,925.29,65
ProvidenciaExampleScenario.node[184].veinsmobility,19.699,0,27028.5,27234,411.074,1064.96,205
ProvidenciaExampleScenario.node[185].veinsmobility,19.75,0,27028.5,27266,501.478,1287.73,237
ProvidenciaExampleScenario.node[186].veinsmobility,15.65,6.9,27028.5,27050,73.1451,279.999,21
ProvidenciaExampleScenario.node[187].veinsmobility,15.1362,0,27028.5,27158,271.078,886.879,129
ProvidenciaExampleScenario.node[188].veinsmobility,17.5531,0,27028.5,27227.5,440.264,1489.4,198.5
ProvidenciaExampleScenario.node[189].veinsmobility,21.4523,-2.1088,27029,27221,481.588,1506.72,191.5
ProvidenciaExampleScenario.node[190].veinsmobility,15.0912,0,27029,27184,285.712,749.855,154.5
ProvidenciaExampleScenario.node[191].veinsmobility,19.4089,3.99054,27029,27090.5,211.149,863.857,61
ProvidenciaExampleScenario.node[192].veinsmobility,21.6053,0,27029.5,27238,452.043,1050.97,208
ProvidenciaExampleScenario.node[193].veinsmobility,15.0988,1.42369,27029.5,27092,161.088,637.206,62
ProvidenciaExampleScenario.node[194].veinsmobility,16.45,5.28805,27029.5,27091.5,209.06,869.37,61.5
ProvidenciaExampleScenario.node[195].veinsmobility,16.25,0,27030.5,27270.5,510.466,1464.84,239.5
ProvidenciaExampleScenario.node[196].veinsmobility,16.25,0,27030.5,27110,197.483,674.641,79
ProvidenciaExampleScenario.node[197].veinsmobility,16.25,3.7,27030.5,27091,205.306,840.666,60
ProvidenciaExampleScenario.node[198].veinsmobility,21,0,27031,27271,497.172,1306.2,239.5
ProvidenciaExampleScenario.node[199].veinsmobility,16.25,0,27031,27166.5,266.358,691.29,135
ProvidenciaExampleScenario.node[200].veinsmobility,18.5014,0,27031,27205.5,422.002,1547.11,174
ProvidenciaExampleScenario.node[201].veinsmobility,16,0,27031.5,27251.5,393.885,861.652,219.5
ProvidenciaExampleScenario.node[202].veinsmobility,22.3944,0,27031.5,27240.5,458.727,1083.23,208.5
ProvidenciaExampleScenario.node[203].veinsmobility,16.25,0,27031.5,27147.5,316.182,1107.91,115.5
ProvidenciaExampleScenario.node[204].veinsmobility,18.8714,3.98495,27031.5,27096,231.312,934.311,64
ProvidenciaExampleScenario.node[205].veinsmobility,16.25,5.5,27031.5,27065.5,120.545,453.668,33.5
ProvidenciaExampleScenario.node[206].veinsmobility,15.4729,0,27032,27230,422.42,1374.64,197.5
ProvidenciaExampleScenario.node[207].veinsmobility,19.75,0,27032,27250,506.492,1380.53,217.5
ProvidenciaExampleScenario.node[208].veinsmobility,16.25,-1.71106,27032,27375.5,615.176,1491.52,343
ProvidenciaExampleScenario.node[209].veinsmobility,14.4591,0,27032,27155,235.718,856.362,122.5
ProvidenciaExampleScenario.node[210].veinsmobility,16.75,0,27032,27227,411.821,957.207,194.5
ProvidenciaExampleScenario.node[211].veinsmobility,18.5,0,27032,27250,557.44,1686.81,217.5
ProvidenciaExampleScenario.node[212].veinsmobility,15.6909,1.87072,27032.5,27096,172.359,642.709,63
