Module,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_ArrivedAtDest,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_RcvdWarnings,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_SentWarnings
ProvidenciaExampleScenario.node[711].appl,1,3,0
ProvidenciaExampleScenario.node[593].appl,1,4,0
ProvidenciaExampleScenario.node[459].appl,1,28,0
ProvidenciaExampleScenario.node[485].appl,1,26,0
ProvidenciaExampleScenario.node[316].appl,1,17,0
ProvidenciaExampleScenario.node[589].appl,1,3,0
ProvidenciaExampleScenario.node[573].appl,1,8,0
ProvidenciaExampleScenario.node[320].appl,1,18,0
ProvidenciaExampleScenario.node[309].appl,1,30,0
ProvidenciaExampleScenario.node[618].appl,1,4,0
ProvidenciaExampleScenario.node[627].appl,1,5,0
ProvidenciaExampleScenario.node[622].appl,1,5,0
ProvidenciaExampleScenario.node[533].appl,1,23,0
ProvidenciaExampleScenario.node[719].appl,1,12,0
ProvidenciaExampleScenario.node[360].appl,1,17,0
ProvidenciaExampleScenario.node[665].appl,1,4,0
ProvidenciaExampleScenario.node[503].appl,1,19,0
ProvidenciaExampleScenario.node[335].appl,1,17,0
ProvidenciaExampleScenario.node[737].appl,1,4,0
ProvidenciaExampleScenario.node[717].appl,1,0,0
ProvidenciaExampleScenario.node[552].appl,1,18,0
ProvidenciaExampleScenario.node[564].appl,1,23,0
ProvidenciaExampleScenario.node[644].appl,1,18,0
ProvidenciaExampleScenario.node[546].appl,1,19,0
ProvidenciaExampleScenario.node[471].appl,1,16,0
ProvidenciaExampleScenario.node[689].appl,1,4,0
ProvidenciaExampleScenario.node[592].appl,1,9,0
ProvidenciaExampleScenario.node[713].appl,1,13,0
ProvidenciaExampleScenario.node[701].appl,1,14,0
ProvidenciaExampleScenario.node[630].appl,1,19,0
ProvidenciaExampleScenario.node[773].appl,1,10,0
ProvidenciaExampleScenario.node[707].appl,1,5,0
ProvidenciaExampleScenario.node[718].appl,1,0,0
ProvidenciaExampleScenario.node[683].appl,1,4,0
ProvidenciaExampleScenario.node[232].appl,1,16,0
ProvidenciaExampleScenario.node[93].appl,1,22,0
ProvidenciaExampleScenario.node[603].appl,1,21,0
ProvidenciaExampleScenario.node[637].appl,1,15,0
ProvidenciaExampleScenario.node[760].appl,1,3,0
ProvidenciaExampleScenario.node[270].appl,1,14,0
ProvidenciaExampleScenario.node[741].appl,1,5,0
ProvidenciaExampleScenario.node[273].appl,1,26,0
ProvidenciaExampleScenario.node[282].appl,1,33,0
ProvidenciaExampleScenario.node[748].appl,1,12,0
